AUN,Customer,Demand (Boards per year),Revenue,Technology,Supplier (Main Part),PN,Project,Attachment Registered,Supplier,Attachment Proposal,Part Description,Lead Time (weeks),EOL (years),Datasheet
NRF52832-CIAA-R,EMF2471A3S-10MHF1,"Gain 4.6 dBi, 50 Ohm, 2400|4900|6000 MHz, VSWR 2",,,,,,,,,,,,
NRF52832-CIAA-R,EMF2471A3S-10MHF1,"Gain 4.6 dBi, 50 Ohm, 2400|4900|6000 MHz, VSWR 2",,,,,,,,,,,,
NRF52832-CIAA-R,EMF2471A3S-10MHF1,"Gain 4.6 dBi, 50 Ohm, 2400|4900|6000 MHz, VSWR 2",,,,,,,,,,,,
NRF52832-CIAA-R,EMF2471A3S-10MHF1,"Gain 4.6 dBi, 50 Ohm, 2400|4900|6000 MHz, VSWR 2",,,,,,,,,,,,
